recommendationid,steamid,num_games_owned,num_reviews,playtime_forever,playtime_last_two_weeks,playtime_at_review,last_played,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access
180085353,76561199231745258,0,4,1224,172,1052,1732753717,english,WE LOVE YOU ISAAC,1732743319,1732743319,True,0,0,0,0,True,False,False
180085167,76561198080424163,110,5,32667,1078,32663,1732782350,english,"I recommend it with all the warmth of my heart, it's what you need in life: nerves, love and frustration and the happiness of finishing the game with a unique build or with a crap build in your last life, online with friends becomes even better",1732743299,1732743299,True,0,0,0,0,True,False,False
180081551,76561198865752434,44,4,1569,1333,1569,1732739384,english,poops tears and naked babies - all i love,1732742868,1732742868,True,0,0,0,0,True,False,False
180078281,76561198284021395,0,28,2755,1666,2755,1732742463,english,one of the best game!!,1732742493,1732742493,True,0,0,0,0,True,False,False
180078113,76561198185800698,234,6,58,0,58,1690703392,english,Funny Game,1732742474,1732742474,True,0,0,0,0,True,False,False
180076741,76561198162979672,436,6,14398,1139,14398,1732735853,english,Escape from Temu,1732742323,1732742323,True,1,0,0.523809552192687988,0,True,False,False
180075504,76561198009527703,0,7,45332,3014,45287,1732802619,english,A fun and challenging game,1732742184,1732742184,True,0,0,0,0,True,False,False
180072505,76561198057930045,130,5,38557,5,38555,1732741976,english,.,1732741869,1732741869,True,0,0,0,0,True,False,False
180065788,76561199466269001,0,25,537,263,492,1732762907,english,"I only have a few hours, but this is one of my favorite games that I have bought. You need to but this.",1732741177,1732741177,True,0,0,0,0,True,False,False
180065711,76561198067170410,0,1,4268,3289,4112,1732762022,english,yes,1732741171,1732741171,True,0,0,0,0,True,False,False
180062339,76561199411708183,21,2,21203,916,21202,1732769510,english,"such a good game with lots and lots of content in it, well worth all the money",1732740831,1732740831,True,0,0,0,0,True,False,False
180059184,76561199231100914,0,1,10244,271,10244,1732740367,english,literally the most peak game ive ever played,1732740522,1732740522,True,0,0,0,0,True,False,False
180058967,76561199160526245,0,3,317,317,186,1732749254,english,w,1732740503,1732740503,True,0,0,0,0,True,False,False
180054810,76561198250024808,35,4,12029,2648,12029,1732739414,english,Wonderful,1732740095,1732740095,True,0,0,0,0,True,False,False
180049269,76561199061820847,263,18,2483,773,2430,1732744235,english,it good,1732739577,1732739577,True,0,0,0,0,True,False,False
180044228,76561198368832352,149,19,12395,819,12395,1732736659,english,"brother bobby op, pls nerf",1732739093,1732739103,True,0,0,0,0,True,False,False
180040601,76561198304071072,126,1,53495,1018,53495,1732738693,english,very cool game recommend 100%,1732738750,1732738750,True,0,0,0,0,True,False,False
180039042,76561198038885884,0,6,22064,2717,22002,1732805789,english,classic of the genre,1732738605,1732738605,True,0,0,0,0,True,False,False
180037566,76561198143627929,68,15,8784,1,8784,1732738479,english,cool game,1732738463,1732738463,True,0,0,0,0,True,False,False
180037368,76561198017682483,0,11,34023,1837,34023,1732805905,english,I LOVE GAMBLING,1732738445,1732738445,True,0,0,0,0,True,False,False
180034012,76561198358426745,262,2,2295,1222,2294,1732738171,english,Found my wives divorce papers. Tears up+ :),1732738124,1732738124,True,0,0,0,0,True,False,False
180032932,76561198978850220,0,2,13903,3652,13791,1732800754,english,It is addictive.,1732738003,1732738003,True,1,0,0.52173912525177002,0,True,False,False
180029890,76561199083317437,841,8,15597,438,15597,1732789760,english,"absolutely threw the match, multiple times, player did a thumbs up emote.

defeated mother, only the best people play this child abuse game.",1732737580,1732737580,True,0,0,0,0,True,False,False
180024092,76561198998819409,224,2,25394,948,25392,1732737371,english,This is one of the highest quality slideshows i've ever watched! 10/10,1732737063,1732737063,True,0,0,0,0,True,False,False
180022984,76561198253510451,374,11,15923,847,15920,1732791258,english,the biggest and the bestest game,1732736965,1732736965,True,1,0,0.525547444820404053,0,True,False,False
180022814,76561199262702244,0,4,12279,286,12278,1732737025,english,"dont get it it will take over your life
10/10 would play again",1732736950,1732736950,True,0,0,0,0,True,False,False
180020026,76561198145573215,110,9,9392,1,9392,1732736662,english,best singleplayer grinder game,1732736727,1732736727,True,0,0,0,0,True,False,False
180019637,76561198384391349,245,8,46443,508,46443,1732721007,english,"Best game on the planet hands down
Highly recommended, especially with all DLC
Many characters, items and endings each with a unique twist
Secrets to be discovered
Now has couch Co-Op and Online Co-Op

10/10 
",1732736695,1732736695,True,0,0,0,0,True,False,False
180005097,76561198840043231,35,2,5563,2998,5563,1732735382,english,Fune,1732735542,1732735542,True,0,0,0,0,True,False,False
179999018,76561198073623493,0,10,73224,1296,73224,1732734956,english,"[Narrator voice] ""Addicted!""",1732735062,1732735062,True,0,0,0,0,True,False,False
179991135,76561198061983275,535,7,4281,2420,4222,1732739831,english,Neato Roguelike Legend of Zelda style game.,1732734477,1732734477,True,0,0,0,0,True,False,False
179986409,76561198413444749,0,11,4723,133,4711,1732734530,english,Your co-op suck ball and need to get cured from LIGMA!,1732734140,1732734140,False,0,0,0.467479676008224487,0,True,False,False
179985274,76561198190897373,59,2,8596,240,8596,1732733820,english,Pew pew child abuse,1732734058,1732734058,True,0,0,0,0,True,False,False
179979292,76561198825402464,120,32,698,125,698,1732063391,english,"I beat the game because a friend carried me

10/10 would leech off of their skill again",1732733653,1732733653,True,0,0,0,0,True,False,False
179973439,76561198268782884,127,5,20529,114,20529,1732733142,english,A slightly addictive masterpiece,1732733268,1732733268,True,0,0,0,0,True,False,False
179970397,76561199086716752,0,14,1135,1164,686,1732777284,english,I Like This Game (:,1732733066,1732733092,True,0,0,0,0,True,False,False
179962318,76561198094018502,373,5,27091,944,27083,1732755660,english,not bad,1732732560,1732732560,True,0,0,0,0,True,False,False
179953553,76561199190681400,0,3,13836,2048,13656,1732753781,english,this game makes me unimaginably angry but i play it every day would reccomend,1732732052,1732732052,True,0,0,0,0,True,False,False
179947572,76561198883725355,113,8,3645,1761,3431,1732805644,english,game of my childhood,1732731733,1732731733,True,0,0,0,0,True,False,False
179947108,76561198291054157,525,31,1046,305,1046,1732752353,english,isaac needs clothes!!,1732731709,1732731709,True,1,1,0.522058844566345215,0,True,False,False
